名称,符号,市值(USD),当前价格,2025-08-31日价格,2025-08-31日至今涨跌(%),期间最高价,最高点日期,最高点后最低价,后最低点日期,最高点回调幅度(%)
Bitcoin,btc,1715769575968,89880.27,108816.33,-17.4,126199.63,2025-10-06,80600.0,2025-11-21,-36.13
Ethereum,eth,341436335891,3094.01,4373.7,-29.26,4769.36,2025-09-13,2623.57,2025-11-21,-44.99
XRP,xrp,122370501224,2.0587,2.818,-26.94,3.1858,2025-09-13,1.2543,2025-10-10,-60.63
BNB,bnb,113388762471,889.81,862.0,3.23,1375.11,2025-10-13,790.79,2025-11-21,-42.49
Solana,sol,70649974674,132.68,202.7,-34.54,253.51,2025-09-18,121.66,2025-11-21,-52.01
TRON,trx,26295931930,0.281,0.339,-17.11,0.3547,2025-09-13,0.2709,2025-11-25,-23.63
Dogecoin,doge,20853532963,0.14045,0.21595,-34.96,0.30684,2025-09-13,0.095,2025-10-10,-69.04
Cardano,ada,14085733280,0.4278,0.8225,-47.99,0.954,2025-09-13,0.2737,2025-10-10,-71.31
Wrapped Bitcoin,wbtc,10721803763,89787.9,108947.75,-17.59,126154.72,2025-10-06,35000.0,2025-10-10,-72.26
Bitcoin Cash,bch,10341017738,577.5,552.8,4.47,651.0,2025-09-18,443.2,2025-10-17,-31.92
Wrapped Beacon ETH,wbeth,10007435503,3360.47,4712.56,-28.69,5141.96,2025-09-13,430.65,2025-10-10,-91.62
Chainlink,link,8425352742,13.56,23.51,-42.32,25.64,2025-09-13,7.9,2025-10-10,-69.19
Stellar,xlm,7482528541,0.2385,0.36,-33.75,0.4143,2025-09-13,0.16,2025-10-10,-61.38
Ethena USDe,usde,7153722655,0.9992,1.0,-0.08,1.01,2025-09-09,0.65,2025-10-10,-35.64
Litecoin,ltc,5920242309,82.78,110.83,-25.31,135.99,2025-10-10,52.71,2025-10-10,-61.24
Zcash,zec,5917207168,395.94,40.05,888.61,750.0,2025-11-07,301.14,2025-12-03,-59.85
Hedera,hbar,5698677587,0.13272,0.22575,-41.21,0.25481,2025-09-13,0.0725,2025-10-10,-71.55
Avalanche,avax,5543324580,13.53,23.78,-43.1,36.16,2025-09-23,8.52,2025-10-10,-76.44
Sui,sui,5052412961,1.5803,3.3066,-52.21,3.9765,2025-09-18,0.5597,2025-10-10,-85.92
Shiba Inu,shib,4714380880,8.47e-06,1.233e-05,-31.31,1.484e-05,2025-09-13,6.78e-06,2025-10-10,-54.31
World Liberty Financial,wlfi,4184251288,0.1504,0.2,-24.8,0.478,2025-09-01,0.0715,2025-10-10,-85.04
Toncoin,ton,3685431007,1.602,3.127,-48.77,3.266,2025-09-13,0.554,2025-10-10,-83.04
Uniswap,uni,3475955648,5.443,9.727,-44.04,10.36,2025-09-13,2.0,2025-10-10,-80.69
Polkadot,dot,3325957181,2.104,3.81,-44.78,4.882,2025-09-19,0.633,2025-10-10,-87.03
USD1,usd1,2716213635,0.9989,1.001,-0.21,1.02,2025-08-31,0.9978,2025-09-01,-2.18
Bittensor,tao,2561013100,288.6,322.9,-10.62,539.4,2025-11-01,254.2,2025-12-01,-52.87
Aave,aave,2523065153,189.0,319.4,-40.83,331.83,2025-09-04,79.51,2025-10-10,-76.04
NEAR Protocol,near,2142930895,1.715,2.435,-29.57,3.342,2025-09-19,1.55,2025-10-10,-53.62
Aster,aster,2018238418,0.934,1.5,-37.73,3.0,2025-10-06,0.817,2025-11-04,-72.77
Ethereum Classic,etc,1989694142,13.27,20.94,-36.63,22.52,2025-09-13,7.0,2025-10-10,-68.92
Internet Computer,icp,1929816298,3.358,4.854,-30.82,9.849,2025-11-08,3.316,2025-12-07,-66.33
Ethena,ena,1791639756,0.2669,0.6545,-59.22,0.8727,2025-09-09,0.1313,2025-10-10,-84.95
Pepe,pepe,1757017569,4.63e-06,9.83e-06,-52.9,1.27e-05,2025-09-13,2.79e-06,2025-10-10,-78.03
Wrapped SOL,sol,1618824549,132.6,202.7,-34.58,253.51,2025-09-18,121.66,2025-11-21,-52.01
Pump.fun,pump,1582321891,0.002986,0.004502,-33.67,0.00898,2025-09-14,0.000411,2025-10-10,-95.42
Ondo,ondo,1467480823,0.474,0.9083,-47.81,1.1355,2025-09-12,0.2552,2025-10-10,-77.53
PAX Gold,paxg,1413373492,4202.3,3462.72,21.36,4790.0,2025-10-16,3900.0,2025-10-28,-18.58
Worldcoin,wld,1370948728,0.602,0.904,-33.41,2.211,2025-09-09,0.264,2025-10-10,-88.06
Aptos,apt,1355509001,1.752,4.329,-59.53,5.648,2025-10-05,0.747,2025-10-10,-86.77
Quant,qnt,1355178910,87.37,104.43,-16.34,110.5,2025-10-02,50.0,2025-10-10,-54.75
BFUSD,bfusd,1318921495,0.9992,0.9995,-0.03,1.0019,2025-10-11,0.997,2025-12-02,-0.49
POL (ex-MATIC),pol,1313824805,0.1226,0.2569,-52.28,0.2964,2025-09-03,0.1152,2025-10-10,-61.13
Sky,sky,1163227128,0.05314,0.07558,-29.69,0.095,2025-09-17,0.03491,2025-10-10,-63.25
Official Trump,trump,1146170167,5.667,8.37,-32.29,9.571,2025-11-10,5.524,2025-12-07,-42.28
Algorand,algo,1142956264,0.1321,0.2336,-43.45,0.2604,2025-09-13,0.1,2025-10-10,-61.6
Arbitrum,arb,1097717153,0.2097,0.4992,-57.99,0.5577,2025-09-13,0.1049,2025-10-10,-81.19
Cosmos Hub,atom,1093051141,2.216,4.504,-50.8,4.887,2025-09-13,0.001,2025-10-10,-99.98
Binance Staked SOL,bnsol,1071299080,144.2,217.2,-33.61,271.8,2025-09-18,34.9,2025-10-10,-87.16
Filecoin,fil,1056903303,1.478,2.29,-35.46,3.973,2025-11-07,1.418,2025-12-07,-64.31
VeChain,vet,1045478741,0.0124,0.02471,-49.82,0.02637,2025-09-19,0.00982,2025-10-10,-62.76
