id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_date
bitcoin,btc,Bitcoin,90364.0,1805780205887,1,1805780205887,44897573878.0,92203.0,89736.0,-0.83741,19959600.0,19959600.0,21000000.0,126080.0,2025-10-06T18:57:42.558Z
ethereum,eth,Ethereum,3125.35,377127990729,2,377127990729,24722492339.0,3171.62,3093.48,0.40074,120695272.1387262,120695272.1387262,,4946.05,2025-08-24T19:21:03.333Z
tether,usdt,Tether,1.0,185734380657,3,191201716622,74518327563.0,1.0,0.999896,-0.00577,185720807124.9028,191187743536.0062,,1.32,2018-07-24T00:00:00.000Z
ripple,xrp,XRP,2.06,124737125931,4,206722980029,2770904071.0,2.11,2.06,-0.5567,60331635327.0,99985752852.0,100000000000.0,3.65,2025-07-18T03:40:53.808Z
binancecoin,bnb,BNB,893.6,123200501059,5,123200501059,1405497627.0,911.32,890.37,-0.84685,137735813.27,137735813.27,200000000.0,1369.99,2025-10-13T08:41:24.131Z
usd-coin,usdc,USDC,0.999741,78278843085,6,78276493685,11051599376.0,0.999915,0.999696,-0.01254,78294493252.47537,78292143382.2358,,1.17,2019-05-08T00:40:28.300Z
solana,sol,Solana,133.85,75231577803,7,82507405312,5186744908.0,138.98,132.74,-0.38096,561461427.8085551,615761717.9398918,,293.31,2025-01-19T11:15:27.957Z
staked-ether,steth,Lido Staked Ether,3124.58,27191501759,8,27191501759,28694712.0,3168.27,3094.37,0.44991,8700063.657999653,8700063.657999653,,4932.89,2025-08-24T19:21:31.902Z
tron,trx,TRON,0.281429,26579977044,9,26580125074,574605393.0,0.287395,0.280286,-1.91319,94681196504.49539,94681723804.91528,,0.431288,2024-12-04T00:10:40.323Z
dogecoin,doge,Dogecoin,0.141363,22861649183,10,22864545012,1110660173.0,0.144268,0.140558,0.47774,161604132798.579,161624602798.579,,0.731578,2021-05-08T05:08:23.458Z
cardano,ada,Cardano,0.430559,15815821393,11,19426998728,623423255.0,0.44007,0.423624,1.63711,36635198912.50997,45000000000.0,45000000000.0,3.09,2021-09-02T06:00:10.474Z
figure-heloc,figr_heloc,Figure Heloc,1.03,14489184585,12,14489184585,11942257.0,1.038,1.02,1.02631,14064216014.81,14064216014.81,,1.37,2025-10-28T06:05:38.345Z
whitebit,wbt,WhiteBIT Coin,60.95,13068275320,13,19560577317,119629933.0,61.59,60.63,-0.035,214372548.0,320872548.0,400000000.0,63.15,2025-12-04T03:12:02.334Z
wrapped-steth,wsteth,Wrapped stETH,3815.64,12750089224,14,12750089224,37659320.0,3869.58,3772.16,0.40742,3343438.527556607,3343438.527556607,,7256.02,2022-05-13T15:09:54.509Z
bitcoin-cash,bch,Bitcoin Cash,576.63,11521729343,15,11521761806,267722352.0,604.19,575.03,-3.98289,19964240.52165078,19964296.77165078,21000000.0,3785.82,2017-12-20T00:00:00.000Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,90331.0,11293978326,16,11293978326,204978659.0,92119.0,89377.0,-0.73755,124963.48883569,124963.48883569,124963.48883569,125932.0,2025-10-06T18:55:19.650Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3391.9,11074906563,17,11074906563,10594304.0,3440.54,3349.16,0.43417,3264465.819136715,3264465.819136715,,5330.78,2025-08-24T19:27:46.809Z
chainlink,link,Chainlink,13.68,9543519316,18,13695228128,566269643.0,14.22,13.6,-1.64709,696849970.4525868,1000000000.0,1000000000.0,52.7,2021-05-10T00:13:57.214Z
usds,usds,USDS,0.999001,9524199054,19,9524199054,28923449.0,1.0,0.998364,-0.03968,9531484379.628628,9543989005.424885,,1.057,2024-10-29T05:40:51.197Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999609,8984173518,20,8984173518,1274545210.0,1.001,0.998943,-0.02352,8984992892.453934,8984992892.453934,,1.05,2024-08-05T14:21:42.527Z
leo-token,leo,LEO Token,9.63,8874586377,21,9483800762,707284.0,9.77,9.44,-1.34184,921950312.9,985239504.0,,10.14,2025-03-10T09:26:43.294Z
weth,weth,WETH,3125.41,8559242262,22,8559242262,229842289.0,3176.67,3085.9,0.42783,2737598.992682666,2737598.992682666,,4950.08,2025-08-24T19:28:11.411Z
