名称,符号,市值(USD),当前价格,2025-08-31价格,2025-08-31至今涨跌(%),2025-11-30价格,2025-08-31至2025-11-30涨跌(%),2025-08-31至2025-11-30最高价,2025-08-31至2025-11-30最高价日期,2025-08-31至2025-11-30最高价到结束日期收盘价跌幅(%),全区间最高价,全区间最高价日期,全区间最高点后最低价,全区间最高点后最低价日期,全区间最高到最低回调幅度(%)
Bitcoin,btc,1805780205887,90029.8,108246.35,-16.83,90360.0,-16.52,126199.63,2025-10-06,-28.4,126199.63,2025-10-06,80600.0,2025-11-21,-36.13
Ethereum,eth,377127990729,3107.53,4391.83,-29.24,2991.26,-31.89,4769.36,2025-09-13,-37.28,4769.36,2025-09-13,2623.57,2025-11-21,-44.99
XRP,xrp,124737125931,2.0488,2.7757,-26.19,2.155,-22.36,3.1858,2025-09-13,-32.36,3.1858,2025-09-13,1.2543,2025-10-10,-60.63
BNB,bnb,123200501059,886.99,857.65,3.42,875.31,2.06,1375.11,2025-10-13,-36.35,1375.11,2025-10-13,790.79,2025-11-21,-42.49
Solana,sol,75231577803,132.52,200.62,-33.94,133.48,-33.47,253.51,2025-09-18,-47.35,253.51,2025-09-18,121.66,2025-11-21,-52.01
TRON,trx,26579977044,0.281,0.341,-17.6,0.2815,-17.45,0.3547,2025-09-13,-20.64,0.3547,2025-09-13,0.2709,2025-11-25,-23.63
Dogecoin,doge,22861649183,0.14,0.21371,-34.49,0.14599,-31.69,0.30684,2025-09-13,-52.42,0.30684,2025-09-13,0.095,2025-10-10,-69.04
Cardano,ada,15815821393,0.4257,0.8113,-47.53,0.4143,-48.93,0.954,2025-09-13,-56.57,0.954,2025-09-13,0.2737,2025-10-10,-71.31
Bitcoin Cash,bch,11521729343,574.3,544.2,5.53,540.8,-0.62,651.0,2025-09-18,-16.93,651.0,2025-09-18,443.2,2025-10-17,-31.92
Chainlink,link,9543519316,13.69,23.2,-40.99,12.95,-44.18,25.64,2025-09-13,-49.49,25.64,2025-09-13,7.9,2025-10-10,-69.19
Stellar,xlm,7752702005,0.2387,0.3528,-32.34,0.248,-29.71,0.4143,2025-09-13,-40.14,0.4143,2025-09-13,0.16,2025-10-10,-61.38
